id,name,url,category,source,notes
33,Fetch.ai Agentverse,https://agentverse.ai,marketplace,prior-research,Agent directory
34,Nevermined,https://nevermined.ai,payments,prior-research,Agent payment infrastructure
35,A2A Registry,https://www.a2aregistry.org,registry,prior-research,A2A-compliant agent registry
36,HuggingFace,https://huggingface.co,platform,well-known,Model + agent hub
37,Langflow,https://www.langflow.org,framework,well-known,Visual agent builder
38,Flowise,https://flowiseai.com,framework,well-known,Open-source visual LLM apps
39,Haystack (deepset),https://haystack.deepset.ai,framework,well-known,RAG / agent framework
40,Botpress,https://botpress.com,platform,well-known,Conversational AI platform
41,Mastra,https://mastra.ai,framework,well-known,TypeScript agent framework
42,Pydantic AI,https://ai.pydantic.dev,framework,well-known,Python typed agent framework
43,BeeAI,https://beeai.dev,framework,well-known,IBM agent framework
44,CamelAI,https://www.camel-ai.org,framework,well-known,Multi-agent role-playing
45,v0,https://v0.dev,product,well-known,Vercel AI UI generator
46,Bolt.new,https://bolt.new,product,well-known,StackBlitz AI app builder
47,Lovable,https://lovable.dev,product,well-known,AI app generator
48,Sweep AI,https://sweep.dev,product,well-known,AI software engineer
49,Manus,https://manus.im,product,well-known,General-purpose AI agent
50,Pi,https://pi.ai,product,well-known,Inflection AI assistant
51,Character.AI,https://character.ai,product,well-known,Character chatbot platform
52,You.com,https://you.com,product,well-known,AI search assistant
53,Phind,https://www.phind.com,product,well-known,AI dev search
54,Perplexity,https://www.perplexity.ai,product,well-known,AI answer engine
55,Kagi,https://kagi.com,product,well-known,Premium AI search
56,Glean,https://www.glean.com,product,well-known,Enterprise AI search
57,Hebbia,https://www.hebbia.com,product,well-known,Enterprise research agent
58,Decagon,https://decagon.ai,product,well-known,AI customer support agent
59,Sierra,https://sierra.ai,product,well-known,Conversational AI for business
60,Olas (Autonolas),https://olas.network,crypto-agent,well-known,Crypto autonomous agents
61,Virtuals Protocol,https://www.virtuals.io,crypto-agent,well-known,On-chain AI agents
62,Story Protocol,https://www.story.foundation,crypto-agent,well-known,IP for AI / agents
63,ElizaOS,https://elizaos.ai,crypto-agent,well-known,Eliza agent runtime
64,Bittensor,https://bittensor.com,crypto-agent,well-known,Decentralized AI network
65,SingularityNET,https://singularitynet.io,crypto-agent,well-known,Decentralized AI marketplace
66,Ocean Protocol,https://oceanprotocol.com,crypto-agent,well-known,Data/AI marketplace
67,Theoriq,https://www.theoriq.ai,crypto-agent,well-known,Agent base layer
68,ChainGPT,https://www.chaingpt.org,crypto-agent,well-known,AI for crypto
69,Fetch.ai,https://fetch.ai,crypto-agent,well-known,Agent network
70,Hyperbolic,https://hyperbolic.xyz,infra,well-known,Decentralized GPU
71,Together AI,https://www.together.ai,infra,well-known,Inference platform
72,Replicate,https://replicate.com,infra,well-known,Run ML models via API
73,mcp.so,https://mcp.so,registry,well-known,MCP server directory
74,Smithery,https://smithery.ai,registry,well-known,MCP marketplace
75,Pulse MCP,https://www.pulsemcp.com,registry,well-known,MCP server registry
76,Continue.dev,https://www.continue.dev,product,well-known,Open-source AI code assistant
77,Cline,https://cline.bot,product,well-known,VSCode AI agent
78,Langfuse,https://langfuse.com,observability,well-known,LLM engineering platform
79,Phoenix (Arize),https://phoenix.arize.com,observability,well-known,LLM observability
80,Athina AI,https://www.athina.ai,observability,well-known,LLM evaluation
81,Patronus AI,https://www.patronus.ai,observability,well-known,LLM evaluation/safety
82,Vapi,https://vapi.ai,voice,well-known,Voice AI platform
83,Bland.ai,https://www.bland.ai,voice,well-known,Phone calling agents
84,Retell,https://www.retellai.com,voice,well-known,Voice agents
85,Synthflow,https://synthflow.ai,voice,well-known,Voice AI builder
86,11x.ai,https://www.11x.ai,sales,well-known,Digital sales workers
87,Ema,https://www.ema.co,sales,well-known,Universal AI employee
88,Ada,https://www.ada.cx,support,well-known,AI customer service
89,Maven AGI,https://www.mavenagi.com,support,well-known,Enterprise CX agents
90,Forethought,https://forethought.ai,support,well-known,Generative customer support AI
91,BrowserBase,https://www.browserbase.com,tools,well-known,Headless browser for agents
92,AgentQL,https://www.agentql.com,tools,well-known,Web data API for agents
93,Tavily,https://tavily.com,tools,well-known,Search API for agents
94,Exa,https://exa.ai,tools,well-known,Search API for AI
95,SerpAPI,https://serpapi.com,tools,well-known,Search engine results API
96,Hyperbrowser,https://hyperbrowser.ai,tools,well-known,Browser infra for agents
97,Stagehand (BrowserBase),https://www.stagehand.dev,tools,well-known,AI web browsing framework
98,ScrapeGraphAI,https://scrapegraphai.com,tools,well-known,LLM-based scraping
99,LangGraph,https://www.langchain.com/langgraph,framework,well-known,Stateful agent graphs
100,Anthropic Computer Use,https://www.anthropic.com,product,well-known,Claude computer use
