id,name,url,category,total_score,tier,check1_passed,check1_points,check2_passed,check2_points,check3_passed,check3_points,check4_passed,check4_points,check5_passed,check5_points,check6_passed,check6_points,check7_passed,check7_points,check8_passed,check8_points,check9_passed,check9_points,check10_passed,check10_points,error
26,Browser Use,https://browser-use.com,tools,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
27,Open Interpreter,https://www.openinterpreter.com,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
28,Aider,https://aider.chat,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
29,Cursor,https://www.cursor.com,product,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
30,Replit Agent,https://replit.com,product,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
31,Moltbook,https://moltbook.com,community,10,Mostly invisible,N,0,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
32,Agentic.Market,https://agentic.market,marketplace,30,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,Y,10,N,0,Y,10,N,0,N,0,
33,Fetch.ai Agentverse,https://agentverse.ai,marketplace,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
34,Nevermined,https://nevermined.ai,payments,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
35,A2A Registry,https://www.a2aregistry.org,registry,20,Mostly invisible,Y,10,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
36,HuggingFace,https://huggingface.co,platform,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
37,Langflow,https://www.langflow.org,framework,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
38,Flowise,https://flowiseai.com,framework,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
39,Haystack (deepset),https://haystack.deepset.ai,framework,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
40,Botpress,https://botpress.com,platform,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
41,Mastra,https://mastra.ai,framework,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
42,Pydantic AI,https://ai.pydantic.dev,framework,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
43,BeeAI,https://beeai.dev,framework,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
44,CamelAI,https://www.camel-ai.org,framework,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
45,v0,https://v0.dev,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
46,Bolt.new,https://bolt.new,product,20,Mostly invisible,Y,10,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
47,Lovable,https://lovable.dev,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
48,Sweep AI,https://sweep.dev,product,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
49,Manus,https://manus.im,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
50,Pi,https://pi.ai,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
51,Character.AI,https://character.ai,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
52,You.com,https://you.com,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
53,Phind,https://www.phind.com,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
54,Perplexity,https://www.perplexity.ai,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
55,Kagi,https://kagi.com,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
56,Glean,https://www.glean.com,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
57,Hebbia,https://www.hebbia.com,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
58,Decagon,https://decagon.ai,product,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
59,Sierra,https://sierra.ai,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
60,Olas (Autonolas),https://olas.network,crypto-agent,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
61,Virtuals Protocol,https://www.virtuals.io,crypto-agent,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
62,Story Protocol,https://www.story.foundation,crypto-agent,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
63,ElizaOS,https://elizaos.ai,crypto-agent,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
64,Bittensor,https://bittensor.com,crypto-agent,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
65,SingularityNET,https://singularitynet.io,crypto-agent,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
66,Ocean Protocol,https://oceanprotocol.com,crypto-agent,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
67,Theoriq,https://www.theoriq.ai,crypto-agent,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
68,ChainGPT,https://www.chaingpt.org,crypto-agent,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
69,Fetch.ai,https://fetch.ai,crypto-agent,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
70,Hyperbolic,https://hyperbolic.xyz,infra,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
71,Together AI,https://www.together.ai,infra,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
72,Replicate,https://replicate.com,infra,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
73,mcp.so,https://mcp.so,registry,20,Mostly invisible,Y,10,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
74,Smithery,https://smithery.ai,registry,10,Mostly invisible,N,0,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
75,Pulse MCP,https://www.pulsemcp.com,registry,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
76,Continue.dev,https://www.continue.dev,product,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
77,Cline,https://cline.bot,product,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
78,Langfuse,https://langfuse.com,observability,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
79,Phoenix (Arize),https://phoenix.arize.com,observability,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
80,Athina AI,https://www.athina.ai,observability,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
81,Patronus AI,https://www.patronus.ai,observability,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
82,Vapi,https://vapi.ai,voice,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
83,Bland.ai,https://www.bland.ai,voice,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
84,Retell,https://www.retellai.com,voice,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
85,Synthflow,https://synthflow.ai,voice,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
86,11x.ai,https://www.11x.ai,sales,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
87,Ema,https://www.ema.co,sales,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
88,Ada,https://www.ada.cx,support,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
89,Maven AGI,https://www.mavenagi.com,support,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
90,Forethought,https://forethought.ai,support,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
91,BrowserBase,https://www.browserbase.com,tools,20,Mostly invisible,Y,10,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
92,AgentQL,https://www.agentql.com,tools,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
93,Tavily,https://tavily.com,tools,50,Weakly discoverable,Y,10,N,0,Y,15,Y,15,N,0,N,0,Y,10,N,0,N,0,N,0,
94,Exa,https://exa.ai,tools,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
95,SerpAPI,https://serpapi.com,tools,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
96,Hyperbrowser,https://hyperbrowser.ai,tools,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
97,Stagehand (BrowserBase),https://www.stagehand.dev,tools,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
98,ScrapeGraphAI,https://scrapegraphai.com,tools,10,Mostly invisible,Y,10,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
99,LangGraph,https://www.langchain.com/langgraph,framework,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
100,Anthropic Computer Use,https://www.anthropic.com,product,0,Mostly invisible,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,
